score,description,date,sentimento
5.0,"Para atividades do dia a dia é um ótimo mouse, o melhor que ja comprei, pra jogos não seimas como não jogo mais ele é bem leve e sensível, a pegada bem tranquila tambémmelhor que aqueles da multilaser!!!!",28/09/2020,Bom
5.0,"Mouse muito bom, acabei até comprando dois para presente, pq ele vale a pena, muito barato pela qualidade e tempo de resposta.Só achei ruim que ele é muito pequeno, mas não é um defeito do produto, mas uma observação pessoal",29/04/2021,Bom
5.0,Estou usando há mais de 4 meses e é muito bom. Ótimo custo benefício. Ótimo mouse mesmo para a faixa de preço.,13/02/2022,Bom
5.0,"O mouse é muito bom, instalação super simples, sei que o tamanho é compacto, porém se fosse um pouquinho maior seria mais confortável para a mão e isso que minha mão nem é tão grande assim. Mas é um ótimo produto.A entrega foi super rápida.",5/04/2021,Bom
5.0,"Mouse muito muito bom mesmo.Entrega rápidaPorém eh pequenininho.Peguei para minha mãe que não usa o notebook todo dia, no meu caso, que trabalho home, prefiro os maiores.",17/03/2021,Bom
4.0,"A qualidade do mouse é boa, mas o tamanho dele é muito pequeno, o que pode causar estranheza e um pouco de desconforto ao pegar (ao menos, em mim causa).",1/12/2021,Bom
5.0,"É um ótimo mouse, ergonômico, bom design, ótima resposta e principalmente econômico quanto a durabilidade da bateria. Ótima aquisição, melhor custo benefício.",20/10/2020,Bom
5.0,"Vale a pena, pagar um pouco mais por esse mouse. Para o dia a dia está ótimo, e ainda tem opção de desligar no final do uso. Economiza pilha.",12/09/2021,Bom
5.0,"O mouse é muito bom, tem uma construção boa e é bonito. O unico problema q tenho é q tenho uma mão de macaco, então fica pouco confortável para o uso, mas isso eu já esperava, mas o mouse em si é perfeito, a cor dele combinou perfeitamente com meu MacBook.",29/09/2020,Bom
5.0,"Para o preço é o melhor que você pode encontrar.. Se for utilizar pra jogar, não recomendo. Não precisa de mouse pad, o mouse funciona tanto em madeira, mármore, tecido,  etc. O modelo do mouse achei pequeno para minha mão.",24/03/2021,Bom
5.0,"O produto é um dos itens de entrada da marca. Pela simplicidade, o preço é compatível.O tempo de resposta é rápido e a configuração é muito simplificada.Se você busca um mouse com ótimo custo X benefício, essa é a escolha",20/09/2020,Bom
5.0,"Mouse sem fio standart. Já vem com pilha (é alcalina, o que dá para segurar um bom tempo sem trocar, mas se fosse recarregável seria ótimo).Ps. O plugue do receptor USB fica guardado dentro do mouse (o que é bom para não perder durante o transporte)",9/06/2020,Bom
5.0,"Otimo mouse pois você consegue guardar nele mesmo o acessório Bluetooth que conecta ele no computador, bom que não da pra perder.Ele ainda veio com pilha, um ponto positivo também.",19/03/2021,Bom
5.0,"Ótima recepção de sinal, porém a distância é um pouco limitada pois utilizo o computador ligado a TV e o mouse para navegar do sofá, e ele limita a recepção do sinal há uns 2 metro mais ou menos e isso prejudica um pouco a experiência, no mais o produto é excelente!",18/09/2020,Bom
5.0,"Ótimo mouse, atendeu todas as minhas expectativas, tem um particularidade, esse mouse tem um botão de ON e OFF, facilitando quando no momento de hibernação ou Suspensão do notebook. Outra coisa, a entrega foi super rápida, dentro do prazo estimado. Estou satisfeito.",21/04/2021,Bom
2.0,"Ponto positivo: agilidade da entrega.Ponto negativo: eu uso dois mouse do mesmo modelo, comparando-os da a se perceber claramente que esse tem uma qualidade bem inferior, não me parece ser original pois diferem muito um do outro. Não compraria novamente.",26/09/2020,Ruim
5.0,Gosto bastante dos mouses da Logitech. O toque é macio e suave e o mouse é bonito e ergonômico. Tenho um da Microsoft mas prefiro esse. O recurso da rodinha pra rolar a página não é maravilhoso. Uso em média 8h por dia pra editar textos. O meu anterior durou 2 anos.,19/07/2021,Bom
5.0,"Foi um ótimo complemento ao meu setup, só não percebi que um centímetro ou dois fariam tanta diferença no mouse, time que me me acostumar e eu tenho mãos pequenas. Meu irmão não usa, ele não fica confortável com o tamanho. Mas deu certo para mim, e uso diariamente.",13/05/2021,Bom
5.0,"O produto atendeu minhas expectativas, estou muito satisfeito. Já estou usando há uns bons dias e não apresentou qualquer tipo de problema. Também já usei em algumas superfícies sem o mouse pad e funcionou praticamente normal. Excelente custo benefício.",22/10/2021,Bom
5.0,"Tenho outro mouse desse mesmo modelo e comprei outro p outro computador pois vi muitos que reclamam que alguns mouse a pilha não dura nada.. esse mouse não acende aquele laser vermelho em baixo, por isso a pilha dele dura muito.",14/12/2020,Bom
4.0,"Gostei da ergonomia, e que ele não possui led (aumentando significativamente a vida útil da pilha).O botão de rolagem é 100% plástico poroso, sinto que preciso colocar mais pressão no dedo para girar do que com modelo emborrachado que eu tinha anteriormente.",3/01/2022,Bom
5.0,"Bom produto. Eficiente, simples, prático e confortável. Não apresentou nenhum problema. Atendeu totalmente a expectativa. Recomendo.",14/08/2020,Bom
5.0,"Muito resistente, não sei quantas vezes já o derrubei. É leve e as pilhas duram bastante (a que veio nele durou cerca de 1 ano). Porém é lento, não é para jogos.",26/08/2020,Bom
5.0,"Já tinha o vermelho e comprei o prateado para minha mãe, eles são lindos.Adoro mouse da logitech, tinha comprado um da multilaser e não durou nada, horrível até pra trocar pilha.O da logitech é macio, fácil para trocar pilha e dura muito mais tempo.",3/03/2021,Bom
1.0,"Depois de 3 semanas de uso ele não funciona por nada, ja troquei a pilha e nada. Joguei o meu dinheiro fors. Diz que tem garantina, mas o trabalho que terei por 30 reais preferir jogar fora.",28/09/2020,Ruim
4.0,Acho que ele funciona melhor que o azul tipo a sensibilidade do laser é melhor tenho os 2.,2/03/2022,Bom
5.0,"Não recomendaria para games porque ele não é muito rápido. Pro tipo de jogos que eu jogo está ótimo. Mas a conexão é rápida, plugar e usar. Não consome muito a pilha. Mesmo usando muito dura ainda uns 10 meses, um ano.",22/01/2021,Bom
5.0,"Super curti o mouse. Macio, silencioso e bonito. Não tem aquela aparência de plástico mal acabado, tem uma carinha de coisa bem feita. rsrs Adorei! melhor mouse que já tive. (Meu uso é pra trabalho - pacote office, one drive... essas coisas básicas).",25/02/2021,Bom
3.0,"O produto é bom de usar, gostei da simplicidade do mouse, e do tamanho.Porém, após apenas 1 ano e meio de uso regular diário, o botão esquerdo parou de funcionar.Infelizmente, vou ter que tentar outro modelo agora para ver se dura mais :(",10/02/2022,Neutro
5.0,"Muito bonito e parece ser bastante preciso. É bem pequeno, muito bom pra carregar em mochilas. Recomendo para uso básico, se for jogar, compre um mouse específico pra isso.",26/03/2021,Bom
5.0,"Bom mouse, leve, ergonomia mt boa, pra games não creio q seja bom devido ao input lag. Ponto principal a destacar é o quanto dura a pilha, uso todos os dias desde que comprei(nem lembro quando foi) e ate agora nem sinal de que vai acabar.",17/05/2021,Bom
5.0,"Já tinha um mouse igual, e comprei esse pois sabia que é um produto muito bom. Ótimo custo benefício. Confortável, boa precisão e resistente. Deixei cair várias vezes e continua funcionando bem. O único ponto negativo na minha opinião é ser a pilha.",22/05/2020,Bom
4.0,"Pelo preço é um dos melhores custos x benefícios do mercado de mouse sem fio. Um pouco leve demais, pequeno, mas funciona muito bem, já vem com a pilha, boa resposta do bluetooth. Vale muito a pena.",29/05/2021,Bom
5.0,"Já usava a linha, por isso comprei novamente. Chegou super rápido e bem embalado.",14/11/2020,Bom
5.0,"O mouse é bastante ergonônico, fácil de instalar e guardar, funciona a contento e a bateria inclusa tem duração bastante longa. Estou bastante satisfeita. Comprei uma segunda unidade para o outro computador.",21/10/2020,Bom
5.0,"é um mouse confortável, com um bom peso e click preciso (para um mouse custando menos de 60 reais). Ótimo custo benefício para quem está procurando por um mouse wireless. Ah, as pilhas duram bastante também.",22/05/2021,Bom
4.0,"A precisão desse mouse não é muito boa, ele parece sensível demais: quando paro com a mão o ponteiro da umas tremidas na tela, mas é bem suave. Não linguei muito pra isso.No geral é bem ergonômico e leve.",8/05/2021,Bom
5.0,"Nem sabia que já vinha com pilha! E não precisa de touchpad, o meu anterior de outra marca precisava... Excelente!",14/04/2021,Bom
5.0,"Comprei em um dia e chegou no outro. Já possuia essa mouse para uso e comprei esse para a minha mãe, ótimo custo benefício e garantoa de uma marca que eu uso há anos. Compra sem erro para quem precisa de um mouse básico e que não decepciona em nenhum aspecto.",29/08/2020,Bom
5.0,"Mouse muito bom, peido chegou rápido e tudo estava funcionando. Muito prático de ser utilizado, e funciona muito bem na superfície de papel ou capas de cadernos. Roda de rolagem muito confortável, assim como as texturas laterais. Gostei bastante.",29/09/2020,Bom
5.0,"Excelente! Resistente, após vários tombos está intacto :)Preciso, rápida resposta ao conectar. Recomendo",9/05/2020,Bom
1.0,"Compre em junho e no final de setembro já estava apresentando defeitos no ""scroll"" (a famosa rodinha). Já tive mouses da própria Logitech, da Microsoft e da HP que duraram mais de dois anos sem apresentar problema algum. Esse m170 foi uma tremenda decepção.",7/10/2020,Ruim
5.0,"Gostei do mouse, responde rapidamente, bom design e boa pegada, mas seu tamanho é de pequeno para médio, então se gostar de mouses maiores pode não ser uma boa para você.",9/10/2021,Bom
5.0,"Pelo preço vale muito a pena, muito melhor que qualquer multilaser de preço baixo, conexão estável, venho usando por 2 meses já",7/10/2021,Bom
4.0,"Atende às expectativas, tem opções de cores e, ao menos para minha mão, que é pequena, achei bem ergonômico. Não uso para games, então não sei opinar a respeito disso. Para o uso normal no dia a dia, achei bem satisfatório.",22/11/2020,Bom
5.0,"Comprei um mouse super barato e me arrependi, acabei tendo que voltar para esse (ja tive um no trabalho). Otimo para quem usa no dia a dia, ótimo custo beneficio.",16/02/2021,Bom
3.0,"Não me atendeu adequadamente. O clique falha as vezes, tem muita latência no sinal (o que faz com o que o cursor atrase muito).O design é bom, adequado a minha mão. O material é bom e o fato de não ter borracha deixa mais higiênico.",10/07/2021,Neutro
5.0,"Esse mouse superou minhas expectativas, por ser de uma marca no qual não conhecia estava com medo, mas ele é realmente bom e com preço acessível, atendeu minhas necessidades de home office.",19/08/2020,Bom
5.0,"Excelente mouse, é ergonômico, bonito e tem um bom acabamento. É bem preciso também para tarefas diárias. Foi uma ótima compra para mim principalmente pelo custo-benefício. Já tem mais de 1 semana de uso e nada a reclamar.",21/04/2021,Bom
5.0,"O mouse é muito bom, ele é preciso, leve e ergonômico.A Amazon precisa melhorar a logística, pois paguei o frete mais caro para ter a entrega agendada, mas a logística foi um caos e, não houve retorno nem do operador logístico e nem da AMAZON.",10/12/2020,Bom
5.0,"Comprei para uso diário (trabalhos da faculdade, navegar na internet, etc) e me surpreendi com a qualidade. Não tem atraso e nem travamentos, conecta super rápido e o alcance é realmente incrível.Estou usando há mais de três meses e super recomendo!",14/04/2021,Bom
5.0,"A entrega como sempre muito rápida.O mouse funciona muito bem tanto em superfuicie lisa como a mesa, tanto no tapete de mouse. Estou muito feliz com a compra.Super indico o produto.",18/02/2021,Bom
5.0,"a precisão é incrível e funciona muito bem quando está longe do computador. mas a ergonomia deixa um pouco a desejar, para quem fica muito tempo no computador ele começa a ficar um pouco desconfortável.",15/10/2020,Bom
5.0,"Perfeito, comprei pro meu filho, confirmou que além do uso comum, é ótimo para usar em jogos.",19/02/2021,Bom
5.0,"comprei para utilizar com notebook, então algo que me ajudou a escolher por esse é poder utilizar em várias superfícies sem mousepad, comprei um mousepad junto mas não necessitei utilizar até agora, bem responsivo e preciso o mouse.",1/05/2020,Bom
5.0,"Como tudo da Logitech, nota 10! Detecta o receptor DE IMEDIATO, tanto no Windows quanto no Android. Pequeno, discreto, pilha dura muito e acho que é o melhor custo beneficio da categoria.",16/04/2019,Bom
5.0,"Pro dia a dia pode comprar sem medo, Logitech nunca me decepcionou e o mouse é ótimo",3/09/2020,Bom
4.0,"Bom custo benefício, não é muito pequeno, mas também não é grande. Não é o ideal para jogos, mas para o dia a dia quebra o galho. Estava querendo mesmo um mouse sem fio e fiquei feliz por vir a pilha inclusa no valor.",13/10/2020,Bom
5.0,"Muito bom o mouse. Em alguns comentários dizem que ele vem usado, fiquei com receio de comprar. Entretanto, ele não é usado, é somente as borrachas na parte debaixo que dão aparência. Ele veio lacrado e com a pilha. Um ótimo investimento a longo prazo!",29/04/2021,Bom
5.0,"O material é excelente, o mouse tem uma ótima durabilidade, pois já tive um da mesma marca, e durou mais de 5 anos.. excelente",16/05/2020,Bom
5.0,"Cumpre o que promete, gostei bastante. Havia comprado um de outra marca, por quase o mesmo preço e não durou 2 semanas. Esse não tive problemas até o momento.",4/06/2020,Bom
5.0,"Um mouse para todas as ocasiões. Ergonômico, preciso e ótimo custo benefício. A pilha (inclusa) dura muito! Comodidade de ser ""sem fio"", compatibilidade e rapidez para trabalhar em qualquer PC. Produto muito durável. Não recomendo para ""gamers profissionais"".",21/08/2021,Bom
2.0,"Compre esse porque minha irmã usa há anos e ama. Porém, quando chegou (lacrado), abri a embalagem e notei diversas marcas na parte inferior do mouse. Parece muito que já foi usado. Se for mesmo o caso, é um absurdo e desrespeito vender o produto como novo e com preço de novo.",7/12/2020,Ruim
5.0,"Se você é como eu que gosta de algo bom, com um preço bom e para uso diário, esse mouse é o ideal. Estou com ele há quase um ano e nenhum problema. Recomendo.",28/08/2020,Bom
5.0,"Me impressionei muito com a qualidade e a precisão, o custo benefício é o melhor, além de ser super levinho, super sensível e MUITO resistente.",22/02/2020,Bom
5.0,"O mouse é excelente! Ele é bonito, de bom tamanho e boa qualidade. Estou usando-o por alguns meses e não tive problemas. Recomendo!!!",22/01/2020,Bom
5.0,"O mouse é excelente, fabricado com excelente material e parece ser bem resistente, com a qualidade Logitech. Podem comprar sem medo, vendido e entregue pela Amazon.",10/08/2021,Bom
5.0,"A compra chegou em ótimo tempo, o mouse não apresentou problemas, é de fácil configuração, o sistema sem fio funciona perfeitamente, nada para reclamar. Recomendo a compra!",2/05/2021,Bom
4.0,"A mídia não pôde ser carregada.               um material bem melhor do que achei que seria, achei que vale muito a pena pelo preço que está, só acho que ele não encaixa muito bem na mão",16/09/2021,Bom
5.0,"Produto excelente! Já usava no trabalho e quis comprar um para uso pessoal. Muito preciso, funciona em qualquer superfície lisa (de preferência não reflexiva), ou seja, não precisa de mouse pad, o que pra mim é um bônus. Ótimo para uso no dia-a-dia.",3/06/2021,Bom
5.0,"Estou com ele há bastante tempo. Paguei um preço muito, muito bom. Já possuía um modelo mais caro e o padrão de qualidade da Logitech não me fez sentir falta do anterior. Recomendadíssimo.",17/11/2020,Bom
4.0,Produto adequa-se as minhas necessidades. Não é um de excelência mas quando comprei já sabia da proposta. Então está Ok. Para uso rotineiro.,15/05/2020,Bom
5.0,O mouse entrega muito com uma valor que cabe no bolso. O mouse é bem resistente para usuários pouco cuidadosos. Já vem com a pilha pronto para uso. Comprei na quinta e chegou na segunda feira em João Pessoa. A entrega mais rapida,16/09/2021,Bom
5.0,"Gostei bastante, sou usuária comum, para word, notebook, e atividades comuns doa dia-a-dia. Não é mouse gamer, que fique claro. Vem com pilhas que prometem durar até um ano, mas faz só um mês, vou aguardar.",5/03/2021,Bom
5.0,"Eu recomendo a aquisição desse mouse para quem não gosta de fios, mas gosta de praticidade e bem estar na utilização do computador. O preço pode ser um pouco elevado, mas o custo benefício vale muito. Eu recomendo a aquisição.",18/09/2020,Bom
4.0,"É bom, porem tem um formato meio estranho, demorei acostumar, mas depois de algum tempo de uso ficou mais normal e confortável. O que vem me incomodando é a precisão dele, que para mim é muito baixa, o antigo mouse q eu tinha de fio era bem melhor.",26/10/2020,Bom
5.0,"Sou designer e já tinha comprado esse mouse uma vez que durou aaaaanos. Daí fui comprar outra marca e me lasquei, pois a precisão era muito inferior para o que eu preciso no meu trabalho. Nunca mais faço essa besteira...simplesmente AMO esse mouse!",27/04/2021,Bom
5.0,"O mouse, para um bluetooth, é barato e funciona bem. Já tive um igual, que quebrou com uns dois anos, mas também tive um microsoft, mais caso, que quebrou em menos tempo.",6/02/2020,Bom
4.0,"Por enquanto está funcionando bem. É menor que o outro que eu tinha, mas não foi problema. Ele usa apenas uma pilha, não é AAA, é aquela um pouco maior. Ainda estou usando a pilha que veio. Já caiu duas vezes, ainda funciona.",26/04/2021,Bom
5.0,"Mais robusto, não tem cara de que vai quebrar só de tocar no mouse. O adaptador usb é muito bom, encaixa perfeito no notebook e não há dificuldades para remover, além de ter um espaço no mouse pra guardá-lo, evitando a perda.",31/03/2021,Bom
4.0,"O mouse parece ser de boa qualidade, porém a entrega deixou a desejar. O produto foi encontrado no chão da garagem a menos de um metro do portão. Foi entregue nas mãos de alguém?Os mouses poderiam ter facilmente se quebrado. O pacote ainda estava exposto à chuva.",10/10/2021,Bom
5.0,"O mouse é muito bom, funciona em qualquer superficie e responde muito bem aos movimentos.Só não recomendo praquem tem as mãos muito grandes, com o uso acaba incomodando por ser muito pequeno, de resto sem palavras... Vale muito a pena",18/09/2020,Bom
5.0,A mídia não pôde ser carregada.               Ergonômico ótimo desempenho.Segunda compra que faço desse mouse.Muito bom!Entrega nota 1000.Indico a todos que procuram qualidade e ótimo custo benefício.,9/09/2021,Bom
5.0,Faz o que um mouse deve fazer. Já tenho um outro do mesmo modelo e funciona sem falhas ou engasgos. Uma coisa boa é que a pilha dura uma eternidade. Já tenho faz mais de um ano e troquei a pilha uma vez.,9/07/2021,Bom
5.0,"Utilizo o mouse para navegação no computador, não utilizo para games. Para o que uso acho ele excelente, tenhop há quase um ano, eu acho, e ainda não precisei trocar a bateria.",24/03/2021,Bom
2.0,"Desde que comprei, o botão de scroll nunca funcionou com precisão.Quando rolo a tela pra baixo, ela dá uma leve rolada pra cima.",23/02/2022,Ruim
5.0,"Gostei do mouse, é compacto e se ajustou perfeitamente ao notebook.",1/02/2021,Bom
5.0,"A mídia não pôde ser carregada.               Estou usando há cerca de um mês, estou gostando bastante, não precisa instalar, basta plugar o usb. Não apresentou defeito nenhum até agora e tem uma ótima resposta. Valeu o preço",19/04/2021,Bom
3.0,"É bem confortável e bonito. Parece durável.Achei a precisão bem ruim comparado a um dell wm126 que tenho aqui. Leva um tempo pra se habituarNo mais, oferece um bom custo-beneficio",21/08/2020,Neutro
5.0,"Ele é ótimo, tem um clique e sensor bem rápido, e bateria está nele a três meses e ainda não acabou, é sensacional, o único probleminha é que ele é meio pequeno, e quem tem uma mão maior talvez estranhe nos primeiros dias.",22/03/2021,Bom
4.0,O mouse é muito bonito e tem um bom acabamento. As vezes tem um deley se estiver um tempo sem uso. Gostoso de apertar e encaixa bem na mão. Como tenho mão grande seria útil se ele fosse um pouco maior. Mas nada que atrapalhe a usabilidade. É só uma questão de conforto.,8/01/2020,Bom
5.0,"Muito bom. Pequeno e bastante funcional. Nem uso o que veio com o teclado que é de fio, ainda esta guardado pois este já supre a necessidade de um bom mouse. Obrigado.",13/03/2022,Bom
5.0,"Excelente mouse! Parece até que tem fio de tão preciso que é.Vendedor de confiança, mandou realmente um mouse novo.No primeiro dia o scroll apresentou ruído, mas não é nada que incomode a utilização por ser casual.",13/05/2021,Bom
5.0,Muito bom! Já venho usando-se mouse desses há dois anos e agora comprei mais um para outro computador da casa. Funciona perfeitamente!,16/05/2021,Bom
5.0,"Mouse muito bom, bem confortável e reponde bem aos comandos. Dá pra confiar nesse! E a bateria ainda não acabou, o que é um bom sinal. Recomendo.",27/01/2022,Bom
5.0,"Excelente. Mouse ótimo e nao fica ""pulando"" bem preciso para mexer com programas e atividades de TI que necessita de precisão. Custo ótimo e a pilha dura muito! Já e meu segundo mouse é só compro esse.",3/10/2021,Bom
5.0,Ergonometro e preciso. Unico comentário sobre melhorias: poderia ser com alguma solução de bateria recarregavel e não com pilha AA que tende a descarregar rápido e acaba sendo disposta de forma incorreta no meio ambiente.,1/02/2022,Bom
5.0,"produto chegou antes do previsto, o mouse é bom mas não aconselho comprar para jogar ou utilizar por grandes períodos de tempo. Ele e bem compacto e para pessoas com mãos grandes usar ele por um tempo considerado leva um desconforto nas mãos.",24/05/2021,Bom
5.0,O produto é muito bom e consegui uma oferta excelente. Recomendo!,17/12/2021,Bom
5.0,"o mouse é relativamente pequeno para a mão, mas é justo considerando ser sem fio. Muito preciso, e de otima qualidade. Nao recomendo para gamer porque nao tem esse propósito. Mas para trabalhar home office, estudar é fantatico.",12/07/2020,Bom
3.0,"Comprei à um mês e uso para trabalhar. Ele cumpre razoavelmente bem a sua função, porém a precisão de clique não é muito boa. Quando tento selecionar algumas opções rapidamente, deixa a desejar. Tive um microsoft sem fio que era bem melhor.",25/11/2020,Neutro
5.0,"Excelente! O mouse tem muita qualidade, funciona muito bem e tem uma boa empunhadura.",16/11/2020,Bom
5.0,"Ainda com pouco tempo de uso, mas estou gostando bastante. Espero que o gasto de pilha seja conforme anunciado.",15/07/2021,Bom
5.0,"Gostei muito do mouse, com excelente precisão, ergonomia, leveza.Entrega realizada antes do prazo, e excelente embalagem.Recomendo o produto.",26/06/2019,Bom
5.0,"Eu me arrependi de ter comprado um outro mais barato e resolvi comprar esse modelo que já conhecia. Agora sim, tenho um mouse bom que cumpre o que promete e funciona muito bem. Além disso, o prata ficou lindo com meu notebook da mesma cor.",4/09/2020,Bom
5.0,"satifeita, cumpre com seu propósito leve, bateria desde que comprei a pilha ate agora que ja um mês de uso excelente pra mim que é mexer com projetos. Porém pra jogos não sei porque não jogo no notebook. mais é leve e muito bom pelo preço.",26/07/2021,Bom
5.0,"Gostei muito. Ele é confortável, ergonômico e tem botão de liga e desliga. O sensor ótico não brilha.  Pode ser que homens com as mãos maiores não o achem ideal, pois para o meu tamanho ficou perfeito.  Veio bem embalado e não atrasou a entrega.",24/05/2020,Bom
5.0,Mouse muito bom! Não é muito grande mas coube perfeitamente em minha mao! Recomendo super!,5/06/2020,Bom
5.0,"Com 15 dias de uso está funcionando perfeitamente, e meu gabinete não fica tão próximo do mouse e mesmo assim não fica com sinal ruim. Testei em 2 computadores usando mais de 1 dia em cada e nos dois foi só plugar que funcionou.",20/06/2021,Bom
5.0,"Mouse com ótimo custo benefício, boa qualidade, atendeu bem a necessidade.",22/04/2021,Bom
4.0,"Adorei o produto, já sabia das dimensões ""Reduzidas"", mas mesmo assim não deixa a desejar se considerarmos o preço. Chegou antes do previsto!!!Só tem dois problemas: 1. Ele não é muito preciso e 2 o “scroll” é um pouco travado.",16/04/2021,Bom
5.0,"Tem um custo benefício muito bom, comprei para usar em atividades básicas e me atendeu perfeitamente. Tem um bom clique, silencioso. Não sei se ele seria muito bom para games pois não testei. Mas gostei demais, indico.",20/02/2021,Bom
4.0,"O mouse em si é bom, sendo o segundo que possuo do mesmo modelo excelente.Infelizmente mandaram com uma pilha sem carga! Então, quando comprar o mouse, já pense em ter uma pilha AA nova em mãos.",7/10/2020,Bom
5.0,"A encomenda chegou antes da data prevista, muito bom, nenhum defeito ou marcas de uso. Faz jus ao ""plug and use"", fácil para configurar. Lembrando, ele não é para jogos, então não crie expectativas erradas.",13/04/2021,Bom
5.0,"Excelente qualidade, fácil de instalar, bem anatômico para a mão",18/07/2021,Bom
5.0,"Já tinha um prata que durou uns 5 anos e vejo quebrar agora pouco, aproveitei e comprei novamente na cor preta. Ele é muito bom e muito bonito também.Não uso pra jogos por isso não coloquei avaliação.",10/03/2022,Bom
5.0,"Excelente produto! Uso para tarefas simples como, navegação, planilhas, apresentações e alguma edição e o mouse tem se saído muito bem. É bem resistente; deixei cair das escadas e não quebrou. Só é preciso lembrar de desligar. Recomendo!",5/10/2020,Bom
5.0,"Mouse ótimo para estudar e trabalhar, não indico exclusivamente para jogar!",23/03/2021,Bom
5.0,"Funciona muito bem para atividades de escritório e games casuais. A principal vantagem é a portabilidade e a economia de bateria, além de bateria AA que são mais baratas que as AAA utilizada em outros mouses, a durabilidade é muito boa!",10/02/2021,Bom
3.0,"Tirei a pedido de minha irmã e ela gostou, apesar do produto não apresentar um bom nível de precisão.",30/08/2020,Neutro
1.0,"Em menos de 5 meses de uso ( usando muito pouco ) estragou o botão scroll do mouse !!! Comprei acreditando na durabilidade do produto, mas se compara a um mouse comprado no camelô. SE VOCÊ QUER JOGAR DINHEIRO FORA, RECOMENDO ESSE MOUSE.",14/12/2021,Ruim
5.0,"O mouse atende as necessidades básicas do usuário. Tem custo adequado e sua conexão wireless funciona muito bem. Se a pilha durar o que foi informado (1 ano), sem dúvida é uma ótima opção para uso normal (não uso para games).",26/06/2020,Bom
5.0,"Bem leve e encaixa na mão perfeitamente. Rápido também e permite desligar sem ter que ficar desconectando do notebook, achei uma ótima função.",22/08/2020,Bom
5.0,"Já tinha um faz 5 anos, comprei outro, não tem melhor na faixa de preço, economia muito boa de pilhas e precisão, qualidade excepcional!!!",29/10/2021,Bom
5.0,"Mouse muito bom para notebook. O tamanho é um pouco menor do que o padrão, melhor para transportar. Bem preciso e não consome muita pilha.",15/02/2022,Bom
1.0,"Absurdo!  comprei um notebook e um mouse, mandaram o mouse e cancelaram o notebook.Coisa sem sentido, não se quer explicaram o porquê, apenas comunicaram que iam devolver o produto.O site perdeu minha confiança.",22/07/2021,Ruim
5.0,"Não tenho o que reclamar deste mouse, funciona bem e tem baixíssimo consumo de bateria. Ele é relativamente pequeno e perfeito para usar com o notebook",20/12/2020,Bom
5.0,"Mouse muito bom, eu já usava um desse modelo que a empresa que trabalho me forneceu, gostei tanto que comprei um para uso pessoal. é fácil de transportar a usabilidade e muito boa tbm",1/09/2020,Bom
5.0,"O mouse é super bonito e discreto, o tamanho achei ideal para uso, e ele é bem preciso tanto no clique como na sensibilidade, eu amei! Logitech está de parabéns pela qualidade do produto e a Amazon pela agilidade da entrega.",25/07/2021,Bom
5.0,"A mídia não pôde ser carregada.               Gostei do mouse, fiz o teste e atendeu as expectativas. Eu já uso outro modelo dessa marca há uns 3 anos e gosto bastante.",10/04/2021,Bom
5.0,"Mouse de bom tamanho, bom custo benefício e aparenta ser resistente.",14/09/2021,Bom
4.0,"Eu achava que o mouse é blotooth, mas o que acontece, dentro do mouse, vem uma entrada USB, você tem que retirar de dentro do mouse e conectar no computador para funcionar. Ele é sem fio mas não é blotooth. Não se enganem",17/09/2021,Bom
5.0,"Não é um super mouse, mas pelo valor cobrado ele é extremamente confortável e preciso! Não parece aqueles mouses de plástico vagabundo que encontramos na maioria das lojas de informática.",29/12/2020,Bom
5.0,"Uso para trabalhar,  precisão suficiente para uso no dia a dia. Material de ótima qualidade e as pilhas duram muito tempo.",28/06/2020,Bom
5.0,"Mesmo preferindo modelos menores, o design e leveza deste mouse valem a compra. Impressiona a duração da pilha, já que ele não é carregável. Ótima escolha para quem precisa de um mouse robusto para o dia-a-dia.",8/07/2021,Bom
5.0,"Comprei a pelo menos uns 30 dias, não tenho nenhuma reclamação, essa marca é incrível, o mouse já caiu duas vezes sem querer, pelo barulho pareceu brutal para um mouse sem fio, mas permanece funcionando perfeitamente bem",28/12/2020,Bom
5.0,"Conecta com facilidade, é um mouse leve e cumpre sua função. Gostei pois também funcionou no macbook sem problemas, mesmo que não tenha sido adquirido para essa finalidade.",7/09/2021,Bom
5.0,"Excelente custo e benefício. Só há um problema, mas não me incomoda muito, ele não desliga automaticamente. Deve-se desligar a chave toda vez que não for usar por um tempo senão a bateria vai embora.",2/04/2021,Bom
5.0,"Comprei para uma cliente e ela adorou, muito bom o preço que paguei pelo produto.",30/10/2021,Bom
5.0,"Um excelente mouse pra quem quer qualidade e custo benefício. Realmente, 60 reais muito bem investidos. O mouse é confortável, tem um sensor muito bom (não fica mexendo sozinho igual aos mouses de camelo) e tem um click muito bom.",23/02/2022,Bom
5.0,"Como apontado por outros clientes, o meu mouse também veio com marcas de uso. De qualquer forma, ele está funcionando perfeitamente. É muito útil para quem executa atividades básicas no computador, como edições de documentos do pacote office ou internet.",8/05/2020,Bom
5.0,"Produto excelente, comprei ele por ser menor o que eu tinha, ergonomico, cabe muito bem na mão, bom para quem tem mao pequena e passa mais de 7hrs no pc como eu. Eu não usei para games e jogos. No geral eu gostei muito.",1/01/2022,Bom
